Marque/Modèle,Année,Kilométrage,Etat,Prix
Mercedes Classe A,2023,5 245 km,Occasion,36 499 €
Peugeot 208,2023,20 km,Occasion,26 999 €
Opel Mokka,2023,1 675 km,Occasion,26 799 €
Toyota YARIS CROSS,2022,5 810 km,Occasion,24 999 €
Peugeot 3008,2019,37 630 km,Occasion,16 499 €
Volkswagen Golf 8,2024,26 515 km,Occasion,38 299 €
Dacia Duster,2022,26 232 km,Occasion,21 799 €
Renault Zoé,2016,62 515 km,Occasion,6 799 €
Tesla MODEL 3,2021,85 510 km,Occasion,31 999 €
BMW Série 1,2023,27 628 km,Occasion,28 099 €
Toyota RAV 4,2019,42 730 km,Occasion,26 799 €
DS DS7 CROSSBACK,2023,27 014 km,Occasion,31 999 €
Toyota Yaris 4,2023,26 941 km,Occasion,17 799 €
Audi A1 Sportback,2023,12 065 km,Occasion,28 999 €
Renault Twingo 3,2022,29 230 km,Occasion,11 199 €
Hyundai Tucson,2023,21 864 km,Occasion,29 999 €
Renault Mégane 4,2021,30 482 km,Occasion,20 499 €
Opel Corsa,2020,59 736 km,Occasion,10 999 €
Toyota Yaris,2019,117 511 km,Occasion,12 999 €
Renault Clio 4,2017,133 867 km,Occasion,10 999 €
Volkswagen Polo,2019,70 652 km,Occasion,14 199 €
BMW X1,2023,49 907 km,Occasion,42 499 €
Toyota Corolla,2019,58 967 km,Occasion,18 799 €
Peugeot 308 SW,2022,36 184 km,Occasion,19 499 €
Tesla MODEL Y,2023,27 783 km,Occasion,39 499 €
DS DS3 Crossback,2022,18 675 km,Occasion,21 999 €
Renault Kadjar,2016,127 154 km,Occasion,10 699 €
Citroën Berlingo,2019,40 325 km,Occasion,16 499 €
Citroën C4 Cactus,2019,45 938 km,Occasion,12 499 €
Toyota Aygo X,2023,12 235 km,Occasion,15 999 €
MG ZS,2023,8 448 km,Occasion,17 999 €
Mercedes Classe C,2015,91 611 km,Occasion,18 499 €
Peugeot RIFTER,2019,64 105 km,Occasion,17 799 €
Volkswagen Golf 7,2018,137 225 km,Occasion,13 999 €
Peugeot 508,2020,141 096 km,Occasion,17 799 €
Renault Grand Scénic 4,2017,133 175 km,Occasion,14 999 €
Opel Crossland X,2020,39 763 km,Occasion,12 899 €
Jeep Renegade,2023,25 738 km,Occasion,22 699 €
Dacia SPRING,2021,17 085 km,Occasion,10 499 €
Seat Ibiza,2021,46 105 km,Occasion,15 799 €
