Marque,Modèle,Année,Kilométrage,Etat,Prix
Mercedes,Classe A,2023,5245.0,Occasion,36499.0
Peugeot,208,2023,20.0,Occasion,26999.0
Opel,Mokka,2023,1675.0,Occasion,26799.0
Toyota,YARIS CROSS,2022,5810.0,Occasion,24999.0
Peugeot,3008,2019,37630.0,Occasion,16499.0
Volkswagen,Golf 8,2024,26515.0,Occasion,38299.0
Dacia,Duster,2022,26232.0,Occasion,21799.0
Renault,Zoé,2016,62515.0,Occasion,6799.0
Tesla,MODEL 3,2021,85510.0,Occasion,31999.0
BMW,Série 1,2023,27628.0,Occasion,28099.0
Toyota,RAV 4,2019,42730.0,Occasion,26799.0
DS,DS7 CROSSBACK,2023,27014.0,Occasion,31999.0
Toyota,Yaris 4,2023,26941.0,Occasion,17799.0
Audi,A1 Sportback,2023,12065.0,Occasion,28999.0
Renault,Twingo 3,2022,29230.0,Occasion,11199.0
Hyundai,Tucson,2023,21864.0,Occasion,29999.0
Renault,Mégane 4,2021,30482.0,Occasion,20499.0
Opel,Corsa,2020,59736.0,Occasion,10999.0
Toyota,Yaris,2019,117511.0,Occasion,12999.0
Renault,Clio 4,2017,133867.0,Occasion,10999.0
Volkswagen,Polo,2019,70652.0,Occasion,14199.0
BMW,X1,2023,49907.0,Occasion,42499.0
Toyota,Corolla,2019,58967.0,Occasion,18799.0
Peugeot,308 SW,2022,36184.0,Occasion,19499.0
Tesla,MODEL Y,2023,27783.0,Occasion,39499.0
DS,DS3 Crossback,2022,18675.0,Occasion,21999.0
Renault,Kadjar,2016,127154.0,Occasion,10699.0
Citroën,Berlingo,2019,40325.0,Occasion,16499.0
Citroën,C4 Cactus,2019,45938.0,Occasion,12499.0
Toyota,Aygo X,2023,12235.0,Occasion,15999.0
MG,ZS,2023,8448.0,Occasion,17999.0
Mercedes,Classe C,2015,91611.0,Occasion,18499.0
Peugeot,RIFTER,2019,64105.0,Occasion,17799.0
Volkswagen,Golf 7,2018,137225.0,Occasion,13999.0
Peugeot,508,2020,141096.0,Occasion,17799.0
Renault,Grand Scénic 4,2017,133175.0,Occasion,14999.0
Opel,Crossland X,2020,39763.0,Occasion,12899.0
Jeep,Renegade,2023,25738.0,Occasion,22699.0
Dacia,SPRING,2021,17085.0,Occasion,10499.0
Seat,Ibiza,2021,46105.0,Occasion,15799.0
Audi,Q2,2024,10205.0,Occasion,31499.0
Mini,Mini,2021,82513.0,Occasion,16299.0
Peugeot,508 SW,2024,12000.0,Occasion,44999.0
MG,MG ZS,2021,34969.0,Occasion,16499.0
Mercedes,GLA,2024,9240.0,Occasion,46899.0
Opel,Crossland,2023,15636.0,Occasion,16199.0
Ford,Kuga,2023,10.0,Occasion,29599.0
Fiat,500C,2024,472.0,Occasion,17199.0
BYD,Atto 3,2022,18639.0,Occasion,27999.0
Hyundai,i20,2017,110217.0,Occasion,9499.0
Renault,Scénic 4,2019,45102.0,Occasion,17499.0
Hyundai,Bayon,2021,44407.0,Occasion,14699.0
Opel,GRANDLAND,2023,17925.0,Occasion,21299.0
DS,DS3,2016,60432.0,Occasion,9999.0
Kia,Niro,2019,106072.0,Occasion,15299.0
Citroën,C4 SPACETOURER,2018,85949.0,Occasion,11499.0
BMW,Série 2 Active Tourer,2023,2905.0,Occasion,44499.0
BMW,X2,2019,54288.0,Occasion,23699.0
Opel,Astra,2022,18397.0,Occasion,19799.0
Toyota,Aygo,2018,17887.0,Occasion,10999.0
Citroën,GRAND C4 SPACETOURER,2018,110040.0,Occasion,12499.0
Ford,Fiesta,2023,13079.0,Occasion,24999.0
Land,Rover Range Rover Evoque,2019,44812.0,Occasion,29999.0
Peugeot,108,2018,75425.0,Occasion,8499.0
Fiat,Tipo,2019,31509.0,Occasion,12599.0
Kia,Picanto,2022,12799.0,Occasion,15999.0
Skoda,Karoq,2021,42644.0,Occasion,24199.0
Lynk&Co,01,2022,13314.0,Occasion,26999.0
Audi,Q3,2017,113195.0,Occasion,19499.0
BMW,X3,2023,32200.0,Occasion,53399.0
Lexus,UX,2023,7100.0,Occasion,33999.0
Audi,A4 Avant,2020,43670.0,Occasion,28099.0
Suzuki,VITARA,2020,39320.0,Occasion,17499.0
Opel,Grandland X,2018,82487.0,Occasion,13999.0
Seat,Leon,2019,57921.0,Occasion,13999.0
Nissan,Micra,2021,12237.0,Occasion,16299.0
Citroën,C1,2018,23856.0,Occasion,9299.0
Renault,Mégane 5,2022,29600.0,Occasion,28999.0
Volvo,XC40,2023,10.0,Occasion,44299.0
Renault,Espace 5,2018,67718.0,Occasion,21999.0
Audi,E-TRON SPORTBACK,2020,63387.0,Occasion,34999.0
Honda,ZR-V,2023,27312.0,Occasion,33499.0
Jeep,Compass,2023,23856.0,Occasion,28999.0
MG,EHS,2021,19518.0,Occasion,22999.0
Volvo,EX30,2024,5013.0,Occasion,36999.0
Kia,Stonic,2020,48780.0,Occasion,15999.0
